CO_OCI,IDADE_MINIMA,IDADE_MAXIMA,SEXO
0901010014,120,1571,I
0901010049,216,1571,M
0901010057,216,1571,F
0901010073,216,1571,I
0901010081,120,1571,I
0901010090,120,1571,I
0901010103,120,1571,I
0901010111,216,1571,F
0901010120,216,1571,F
0902010018,216,1571,I
0902010026,216,1571,I
0902010034,216,1571,I
0902010042,216,1571,I
0902010050,216,1571,I
0902010069,216,1571,I
0903010011,0,1571,I
0903010020,0,1571,I
0903010038,0,1571,I
0903010046,0,1571,I
0904010015,0,1571,I
0904010023,0,1571,I
0904010031,0,1571,I
0905010019,0,107,I
0905010027,0,107,I
0905010035,108,1571,I
0905010043,0,1571,I
0905010051,0,1571,I
0905010060,0,1571,I
0905010078,0,1571,I
0906010012,108,1571,I
0906010020,108,1571,I
0906010039,108,1571,I
0906010047,108,1571,I
0906010055,108,1571,I
